0.873	6.75028e-009	4.88181e-009	1.86847e-009	
0.882	7.04587e-009	5.08295e-009	1.96292e-009	
0.891	7.35097e-009	5.28995e-009	2.06102e-009	
0.9	7.66578e-009	5.50291e-009	2.16287e-009	
0.909	7.99048e-009	5.72192e-009	2.26856e-009	
0.918	8.32529e-009	5.94708e-009	2.37821e-009	
0.927	8.6704e-009	6.17849e-009	2.4919e-009	
0.936	9.02601e-009	6.41626e-009	2.60975e-009	
0.945	9.39234e-009	6.66047e-009	2.73186e-009	
0.954	9.76958e-009	6.91124e-009	2.85833e-009	
0.963	1.01579e-008	7.16866e-009	2.98928e-009	
0.972	1.05576e-008	7.43284e-009	3.12481e-009	
0.981	1.09689e-008	7.70386e-009	3.26503e-009	
0.99	1.13919e-008	7.98185e-009	3.41006e-009	
0.999	1.18269e-008	8.26688e-009	3.56001e-009	
1.008	1.22741e-008	8.55908e-009	3.71499e-009	
1.017	1.27337e-008	8.85854e-009	3.87513e-009	
1.026	1.32059e-008	9.16537e-009	4.04053e-009	
1.035	1.3691e-008	9.47966e-009	4.21132e-009	
1.044	1.41891e-008	9.80152e-009	4.38763e-009	
1.053	1.47006e-008	1.01311e-008	4.56956e-009	
1.062	1.52256e-008	1.04684e-008	4.75726e-009	
1.071	1.57644e-008	1.08136e-008	4.95083e-009	
1.08	1.63172e-008	1.11667e-008	5.15042e-009	
1.089	1.68842e-008	1.1528e-008	5.35615e-009	
1.098	1.74656e-008	1.18975e-008	5.56814e-009	
1.107	1.80618e-008	1.22752e-008	5.78654e-009	
1.116	1.86729e-008	1.26614e-008	6.01147e-009	
1.125	1.92992e-008	1.30561e-008	6.24307e-009	
1.134	1.99409e-008	1.34594e-008	6.48147e-009	
1.143	2.05983e-008	1.38714e-008	6.72682e-009	
1.152	2.12715e-008	1.42923e-008	6.97925e-009	
1.161	2.1961e-008	1.47221e-008	7.23891e-009	
1.17	2.26669e-008	1.51609e-008	7.50593e-009	
1.179	2.33894e-008	1.56089e-008	7.78046e-009	
1.188	2.41288e-008	1.60662e-008	8.06265e-009	
1.197	2.48854e-008	1.65328e-008	8.35263e-009	
1.206	2.56595e-008	1.70089e-008	8.65057e-009	
1.215	2.64512e-008	1.74946e-008	8.95661e-009	
1.224	2.72608e-008	1.79899e-008	9.27091e-009	
1.233	2.80887e-008	1.84951e-008	9.59361e-009	
1.242	2.89351e-008	1.90102e-008	9.92487e-009	
1.251	2.98001e-008	1.95353e-008	1.02649e-008	
1.26	3.06842e-008	2.00705e-008	1.06137e-008	
1.269	3.15876e-008	2.0616e-008	1.09716e-008	
1.278	3.25105e-008	2.11718e-008	1.13387e-008	
1.287	3.34532e-008	2.17381e-008	1.17151e-008	
1.296	3.4416e-008	2.23149e-008	1.21011e-008	
1.305	3.53992e-008	2.29024e-008	1.24968e-008	
1.314	3.6403e-008	2.35007e-008	1.29023e-008	
1.323	3.74278e-008	2.411e-008	1.33178e-008	
1.332	3.84737e-008	2.47302e-008	1.37436e-008	
1.341	3.95412e-008	2.53615e-008	1.41797e-008	
1.35	4.06304e-008	2.60041e-008	1.46263e-008	
1.359	4.17417e-008	2.66581e-008	1.50837e-008	
1.368	4.28754e-008	2.73234e-008	1.55519e-008	
1.377	4.40317e-008	2.80004e-008	1.60313e-008	
1.386	4.52109e-008	2.86891e-008	1.65219e-008	
1.395	4.64134e-008	2.93895e-008	1.70239e-008	
1.404	4.76394e-008	3.01019e-008	1.75375e-008	
1.413	4.88892e-008	3.08263e-008	1.8063e-008	
1.422	5.01632e-008	3.15628e-008	1.86004e-008	
1.431	5.14616e-008	3.23116e-008	1.915e-008	
1.44	5.27847e-008	3.30727e-008	1.9712e-008	
1.449	5.41329e-008	3.38464e-008	2.02865e-008	
1.458	5.55064e-008	3.46326e-008	2.08738e-008	
1.467	5.69056e-008	3.54315e-008	2.14741e-008	
1.476	5.83307e-008	3.62433e-008	2.20874e-008	
1.485	5.97821e-008	3.70679e-008	2.27142e-008	
1.494	6.12601e-008	3.79057e-008	2.33544e-008	
1.503	6.2765e-008	3.87566e-008	2.40084e-008	
1.512	6.42971e-008	3.96208e-008	2.46764e-008	
1.521	6.58568e-008	4.04984e-008	2.53585e-008	
1.53	6.74444e-008	4.13895e-008	2.60549e-008	
1.539	6.90601e-008	4.22942e-008	2.67659e-008	
1.548	7.07044e-008	4.32127e-008	2.74917e-008	
1.557	7.23775e-008	4.41451e-008	2.82324e-008	
1.566	7.40798e-008	4.50914e-008	2.89884e-008	
1.575	7.58116e-008	4.60518e-008	2.97598e-008	
1.584	7.75732e-008	4.70265e-008	3.05467e-008	
1.593	7.9365e-008	4.80154e-008	3.13496e-008	
1.602	8.11873e-008	4.90188e-008	3.21684e-008	
