0	0	0	0
1	-2e-005	0	0	
2	0	3.82871e-007	8.56117e-005	
3	0.00012	6.64254e-006	0.00141259	
4	0.00028	1.82085e-005	0.0018908	
5	0.00024	7.23892e-005	0.00407619	
6	0.0009	0.000109147	0.00498607	
7	0.00096	0.000165921	0.00524834	
8	0.0017	0.00037199	0.00853453	
9	0.00228	0.000456793	0.00918551	
10	0.00322	0.000723727	0.0110434	
11	0.00398	0.00101006	0.0131749	
12	0.00518	0.00134783	0.0147545	
13	0.00706	0.00175295	0.0155838	
14	0.00886	0.00217955	0.0171632	
15	0.01064	0.00298234	0.0199207	
16	0.01256	0.0034937	0.0211069	
17	0.01494	0.00416743	0.0224557	
18	0.01696	0.00459505	0.0224789	
19	0.01902	0.00560496	0.0254015	
20	0.02174	0.00655444	0.0264876	
21	0.02458	0.00757855	0.0277285	
22	0.02778	0.00880865	0.0292399	
23	0.0287	0.0100007	0.0310525	
24	0.03374	0.0110205	0.0311976	
25	0.03498	0.0120992	0.0319628	
26	0.0377	0.0134444	0.0330081	
27	0.03968	0.014798	0.0342556	
28	0.04012	0.0161863	0.0346792	
29	0.04208	0.017575	0.0355815	
30	0.04156	0.0190546	0.0358495	
31	0.04376	0.020164	0.0359024	
32	0.0438	0.0215737	0.0362888	
33	0.04484	0.02296	0.0365739	
34	0.04468	0.0240854	0.0366635	
35	0.04446	0.0252125	0.0369734	
36	0.04212	0.0263933	0.0368175	
37	0.04092	0.0274017	0.0368024	
38	0.03964	0.0283463	0.0365551	
39	0.03682	0.0290864	0.0362686	
40	0.03612	0.029807	0.0360108	
41	0.03322	0.030327	0.035637	
42	0.03218	0.03102	0.0351988	
43	0.0306	0.0317659	0.0351548	
44	0.0285	0.0322547	0.0349499	
45	0.02776	0.032507	0.0344159	
46	0.02584	0.0328319	0.0343531	
47	0.0261	0.0327341	0.0336027	
48	0.02586	0.0330955	0.0335082	
49	0.02476	0.033482	0.0334774	
50	0.0255	0.033412	0.0324822	
51	0.02562	0.0333266	0.0324598	
52	0.02756	0.0333925	0.0320641	
53	0.02568	0.0332157	0.0318101	
54	0.02818	0.0329106	0.0307963	
55	0.02874	0.0334705	0.0307268	
56	0.03054	0.0333352	0.0305832	
57	0.0324	0.0329173	0.029763	
58	0.03158	0.0329456	0.0296825	
59	0.0319	0.0333161	0.0297805	
60	0.03326	0.0329834	0.0289057	
61	0.03312	0.0328921	0.028428	
62	0.0342	0.0333139	0.0283496	
63	0.03474	0.0329884	0.02791	
64	0.03474	0.0329393	0.027501	
65	0.03476	0.0330065	0.0271886	
66	0.03428	0.0329869	0.0268388	
67	0.03486	0.0328954	0.0267782	
68	0.03506	0.0328056	0.0261291	
69	0.0353	0.0328085	0.0259107	
70	0.03428	0.0328384	0.0259156	
71	0.03388	0.0329077	0.0251853	
72	0.03416	0.0327867	0.0250345	
73	0.03422	0.0327252	0.024593	
74	0.03444	0.0326169	0.0243175	
75	0.03264	0.032754	0.0243068	
76	0.0309	0.032878	0.0239298	
77	0.03108	0.0325915	0.0234525	
78	0.03098	0.0327875	0.0234994	
79	0.031	0.0328199	0.0235104	
80	0.02988	0.0327474	0.0230121	
81	0.03036	0.0326692	0.022848	
82	0.03096	0.0327492	0.0228019	
83	0.02944	0.0327495	0.0224045	
84	0.03204	0.0325283	0.0222689	
85	0.03132	0.0327945	0.0222607	
86	0.03188	0.0327194	0.0220732	
87	0.0306	0.0326229	0.0219959	
88	0.03156	0.0329263	0.0218963	
89	0.03028	0.0325898	0.0215224	
90	0.03238	0.0326731	0.0212985	
