0	0	0	0
1	0.01454	0.00762506	0.0669715	
2	0.01602	0.0160925	0.09232	
3	0.01609	0.0222012	0.101428	
4	0.01608	0.0264089	0.1058	
5	0.01656	0.0291253	0.106773	
6	0.01638	0.0322057	0.109183	
7	0.01653	0.0338082	0.107831	
8	0.01633	0.0346184	0.106056	
9	0.01661	0.0366205	0.106442	
10	0.01599	0.0371432	0.1043	
11	0.01627	0.037595	0.10249	
12	0.01633	0.0390357	0.103896	
13	0.01698	0.0388033	0.10048	
14	0.01655	0.0399561	0.100864	
15	0.01681	0.0396093	0.0980709	
16	0.01669	0.040345	0.0981009	
17	0.01587	0.0404633	0.0967106	
18	0.01671	0.0397774	0.09388	
19	0.01641	0.0403817	0.093796	
20	0.01617	0.0407672	0.0936593	
21	0.01647	0.0405059	0.0920505	
22	0.01645	0.040157	0.0895307	
23	0.01673	0.0398251	0.0874927	
24	0.0161	0.0403038	0.088109	
25	0.01654	0.0401915	0.0865667	
26	0.01629	0.0395365	0.0840815	
27	0.0165	0.0394316	0.0830483	
28	0.01585	0.0391419	0.081481	
29	0.01646	0.0391202	0.0813511	
30	0.01726	0.0394601	0.0819643	
31	0.01619	0.0389224	0.0798575	
32	0.01735	0.0385076	0.0781291	
33	0.01681	0.0381029	0.0768036	
34	0.01612	0.0380695	0.07606	
35	0.01676	0.0374697	0.0731867	
36	0.01645	0.0375346	0.0743528	
37	0.01663	0.0376504	0.0745679	
38	0.01644	0.0370077	0.0712502	
39	0.01639	0.0365768	0.0695565	
40	0.01668	0.0362975	0.0693823	
41	0.01674	0.0357825	0.0672503	
42	0.01608	0.0357475	0.0667553	
43	0.01678	0.0351248	0.0650222	
44	0.01632	0.0352271	0.0651788	
45	0.01643	0.0352476	0.0659642	
46	0.01626	0.0346866	0.0637692	
47	0.0161	0.034263	0.0619096	
48	0.01668	0.0339965	0.061153	
49	0.01618	0.0336252	0.0596691	
50	0.01686	0.0335123	0.0600158	
51	0.01584	0.0334132	0.0585841	
52	0.01731	0.0327946	0.0569985	
53	0.01681	0.0325276	0.0562715	
54	0.01632	0.0324511	0.0557152	
55	0.01578	0.0323825	0.056082	
56	0.01658	0.0321306	0.0545698	
57	0.01635	0.0317247	0.0539441	
58	0.01714	0.0315536	0.0523872	
59	0.01607	0.0315199	0.0534737	
60	0.01647	0.0313591	0.052185	
61	0.01611	0.030835	0.0504146	
62	0.01641	0.0305812	0.0500989	
63	0.01664	0.0304252	0.0498948	
64	0.01588	0.0299903	0.048464	
65	0.01588	0.0300873	0.047787	
66	0.01627	0.0296227	0.0467471	
67	0.01667	0.0296957	0.0474762	
68	0.01662	0.0291825	0.0450617	
69	0.01635	0.0292338	0.0458999	
70	0.01624	0.028847	0.0443396	
71	0.01602	0.0289644	0.0448128	
72	0.01666	0.0284559	0.0433595	
73	0.016	0.0289028	0.0451956	
74	0.01655	0.0280548	0.0421706	
75	0.01567	0.0279536	0.0412093	
76	0.01677	0.0276981	0.0400954	
77	0.01645	0.0278383	0.0414331	
78	0.01617	0.0276443	0.0415679	
79	0.01625	0.0273865	0.0394869	
80	0.01646	0.0269729	0.0381734	
81	0.01606	0.0269944	0.0386118	
82	0.01667	0.0266285	0.0368263	
83	0.01605	0.0268247	0.0384913	
84	0.017	0.026456	0.036204	
85	0.01696	0.026593	0.0367542	
86	0.01663	0.0260941	0.0351172	
87	0.01651	0.0260066	0.0345075	
88	0.01592	0.0261763	0.0367073	
89	0.01628	0.0257367	0.0339077	
90	0.01614	0.0256058	0.0339269	
