0	0	0	0
1	0	0	0	
2	0	0	0	
3	0.00012	5.24632e-009	1.1731e-006	
4	0.00034	1.75896e-005	0.00180801	
5	0.00066	7.51653e-005	0.00401679	
6	0.0015	0.000154885	0.00558857	
7	0.00236	0.000270659	0.00659473	
8	0.004	0.000593475	0.0101518	
9	0.0058	0.000929736	0.0122482	
10	0.00888	0.00156565	0.015681	
11	0.01164	0.00217501	0.0177732	
12	0.01856	0.00317139	0.0210595	
13	0.02326	0.00458759	0.0241628	
14	0.03038	0.00617013	0.0280112	
15	0.0374	0.00808293	0.0309083	
16	0.04572	0.01051	0.0344694	
17	0.05356	0.0125638	0.0356733	
18	0.0623	0.0156303	0.0393754	
19	0.06942	0.0186091	0.0412093	
20	0.07346	0.0218706	0.0431992	
21	0.07736	0.0253782	0.0450064	
22	0.07856	0.0287125	0.0459149	
23	0.0751	0.0320132	0.0461357	
24	0.07096	0.0349127	0.0470592	
25	0.06736	0.038074	0.0474092	
26	0.06058	0.0403131	0.0473689	
27	0.04964	0.0428542	0.0478062	
28	0.04248	0.0441345	0.0468	
29	0.0345	0.0456403	0.0466627	
30	0.03018	0.0465097	0.0466516	
31	0.02818	0.0468606	0.0456772	
32	0.02648	0.0474262	0.0456387	
33	0.03032	0.0473121	0.0448779	
34	0.03038	0.0473611	0.0442988	
35	0.03558	0.0471484	0.043719	
36	0.03676	0.0473263	0.0437833	
37	0.04218	0.047418	0.0428556	
38	0.047	0.047032	0.0422885	
39	0.04954	0.0470224	0.0414325	
40	0.0527	0.0469391	0.0406807	
41	0.05518	0.0470178	0.0401312	
42	0.05726	0.0466269	0.0389706	
43	0.05862	0.0465787	0.0385186	
44	0.0599	0.0466217	0.0378265	
45	0.05918	0.0463485	0.0368238	
46	0.05704	0.046646	0.0367923	
47	0.05366	0.0467868	0.0357828	
48	0.05362	0.0469683	0.0352761	
49	0.04742	0.0470823	0.0349395	
50	0.04638	0.0470315	0.0340993	
51	0.0426	0.0471013	0.0335699	
52	0.04306	0.0473508	0.0334075	
53	0.04096	0.0471882	0.0330395	
54	0.04092	0.0472704	0.0323551	
55	0.03926	0.047115	0.0319061	
56	0.04294	0.0472257	0.031789	
57	0.04332	0.04704	0.0311442	
58	0.04334	0.0471435	0.0310127	
59	0.04656	0.047173	0.0307202	
60	0.04682	0.0469954	0.0305077	
61	0.04802	0.046968	0.0300349	
62	0.04898	0.0470371	0.0299994	
63	0.05112	0.0471443	0.0296355	
64	0.05202	0.0471637	0.0294119	
65	0.05218	0.0469744	0.0291139	
66	0.05252	0.0468772	0.0287372	
67	0.05116	0.047107	0.0284929	
68	0.05292	0.0470303	0.0282976	
69	0.04946	0.046873	0.0276892	
70	0.04942	0.0472999	0.0278551	
71	0.0481	0.0470468	0.0273691	
72	0.04818	0.0472739	0.0272896	
73	0.048	0.047244	0.0270954	
74	0.04432	0.0471669	0.0269254	
75	0.04516	0.0472012	0.0265314	
76	0.04512	0.0473187	0.0264305	
77	0.04456	0.047253	0.0263109	
78	0.04338	0.0472401	0.0260795	
79	0.04824	0.0472393	0.025866	
80	0.04652	0.0472652	0.0257774	
81	0.04706	0.0473698	0.0256677	
82	0.04636	0.0471766	0.025142	
83	0.04852	0.0470856	0.0252484	
84	0.04698	0.0472151	0.0249771	
85	0.0504	0.0472093	0.0247943	
86	0.04924	0.0471818	0.0246745	
87	0.04916	0.0471846	0.0243008	
88	0.04754	0.0470477	0.0241521	
89	0.04962	0.0471477	0.0240458	
90	0.04974	0.0472318	0.0238758	
