0.455	1	3.57652e-007	9.72066e-012	5.9515e-013	
0.46	1	3.64412e-007	1.00029e-011	6.13324e-013	
0.465	1	3.71226e-007	1.029e-011	6.31849e-013	
0.47	1	3.78091e-007	1.0582e-011	6.50729e-013	
0.475	1	3.85008e-007	1.08789e-011	6.69966e-013	
0.48	1	3.91978e-007	1.11809e-011	6.89563e-013	
0.485	1	3.98999e-007	1.14878e-011	7.09524e-013	
0.49	1	4.06072e-007	1.17997e-011	7.29851e-013	
0.495	1	4.13196e-007	1.21167e-011	7.50548e-013	
0.5	1	4.20372e-007	1.24388e-011	7.71616e-013	
0.505	1	4.27599e-007	1.2766e-011	7.9306e-013	
0.51	1	4.34877e-007	1.30983e-011	8.14882e-013	
0.515	1	4.42206e-007	1.34357e-011	8.37084e-013	
0.52	1	4.49585e-007	1.37784e-011	8.59671e-013	
0.525	1	4.57015e-007	1.41262e-011	8.82644e-013	
0.53	1	4.64496e-007	1.44792e-011	9.06007e-013	
0.535	1	4.72026e-007	1.48375e-011	9.29763e-013	
0.54	1	4.79607e-007	1.5201e-011	9.53915e-013	
0.545	1	4.87238e-007	1.55698e-011	9.78465e-013	
0.55	1	4.94919e-007	1.5944e-011	1.00342e-012	
0.555	0.999999	5.02649e-007	1.63234e-011	1.02877e-012	
0.56	0.999999	5.10429e-007	1.67083e-011	1.05453e-012	
0.565	0.999999	5.18259e-007	1.70985e-011	1.08071e-012	
0.57	0.999999	5.26138e-007	1.74941e-011	1.10729e-012	
0.575	0.999999	5.34066e-007	1.78951e-011	1.13429e-012	
0.58	0.999999	5.42043e-007	1.83016e-011	1.16172e-012	
0.585	0.999999	5.50069e-007	1.87135e-011	1.18956e-012	
0.59	0.999999	5.58144e-007	1.91309e-011	1.21782e-012	
0.595	0.999999	5.66267e-007	1.95538e-011	1.24652e-012	
0.6	0.999999	5.7444e-007	1.99823e-011	1.27564e-012	
0.605	0.999999	5.8266e-007	2.04163e-011	1.3052e-012	
0.61	0.999999	5.90929e-007	2.08558e-011	1.33519e-012	
0.615	0.999999	5.99246e-007	2.1301e-011	1.36562e-012	
0.62	0.999999	6.07611e-007	2.17517e-011	1.3965e-012	
0.625	0.999999	6.16024e-007	2.22081e-011	1.42781e-012	
0.63	0.999999	6.24485e-007	2.26701e-011	1.45958e-012	
0.635	0.999999	6.32994e-007	2.31378e-011	1.49179e-012	
