  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.0369483e-011  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  5.0000000e-003  4.5365933e-010  2.3032687e-010  6.3327121e-011  3.1130654e-011  5.0626170e-012  8.2156504e-013  6.6613381e-014  0.0000000e+000  0.0000000e+000  0.0000000e+000
  1.0000000e-002  8.3628660e-010  4.3212101e-010  1.2292389e-010  5.1936233e-011  1.0569323e-011  1.7985613e-012  1.7763568e-013  0.0000000e+000  0.0000000e+000  0.0000000e+000
  1.5000000e-002  1.1829648e-009  6.1901595e-010  1.8052226e-010  7.2786221e-011  1.6342483e-011  2.9087843e-012  2.8865799e-013  2.2204460e-014  0.0000000e+000  0.0000000e+000
  2.0000000e-002  1.5063728e-009  7.9616314e-010  2.3674396e-010  9.3636210e-011  2.2293278e-011  4.0856207e-012  4.2188475e-013  2.2204460e-014  0.0000000e+000  0.0000000e+000
  2.5000000e-002  1.8130164e-009  9.6611608e-010  2.9196645e-010  1.1455281e-010  2.8399505e-011  5.3290705e-012  5.9952043e-013  2.2204460e-014  0.0000000e+000  0.0000000e+000
  3.0000000e-002  2.1066704e-009  1.1305401e-009  3.4636738e-010  1.3549162e-010  3.4683367e-011  6.6391337e-012  7.3274720e-013  4.4408921e-014  0.0000000e+000  0.0000000e+000
  3.5000000e-002  2.3898661e-009  1.2904122e-009  4.0014658e-010  1.5645263e-010  4.1056047e-011  8.0158102e-012  9.1038288e-013  4.4408921e-014  0.0000000e+000  0.0000000e+000
  4.0000000e-002  2.6644464e-009  1.4465540e-009  4.5339288e-010  1.7748025e-010  4.7539750e-011  9.4368957e-012  1.1102230e-012  4.4408921e-014  0.0000000e+000  0.0000000e+000
  4.5000000e-002  2.9316105e-009  1.5994761e-009  5.0612847e-010  1.9853008e-010  5.4112270e-011  1.0902390e-011  1.3100632e-012  8.8817842e-014  0.0000000e+000  0.0000000e+000
  5.0000000e-002  3.1924685e-009  1.7495561e-009  5.5850879e-010  2.1960211e-010  6.0795813e-011  1.2390089e-011  1.5099033e-012  6.6613381e-014  0.0000000e+000  0.0000000e+000
  5.5000000e-002  3.4476422e-009  1.8972157e-009  6.1048944e-010  2.4071856e-010  6.7545969e-011  1.3966606e-011  1.7319479e-012  1.1102230e-013  0.0000000e+000  0.0000000e+000
  6.0000000e-002  3.6981973e-009  2.0426993e-009  6.6220363e-010  2.6187941e-010  7.4362738e-011  1.5543122e-011  1.9539925e-012  1.1102230e-013  0.0000000e+000  0.0000000e+000
  6.5000000e-002  3.9438008e-009  2.1862068e-009  7.1362916e-010  2.8306246e-010  8.1268325e-011  1.7141844e-011  2.1982416e-012  1.3322676e-013  0.0000000e+000  0.0000000e+000
  7.0000000e-002  4.1858073e-009  2.3279600e-009  7.6476603e-010  3.0426772e-010  8.8240526e-011  1.8829382e-011  2.4202862e-012  1.3322676e-013  2.2204460e-014  0.0000000e+000
  7.5000000e-002  4.4241943e-009  2.4680258e-009  8.1570306e-010  3.2551739e-010  9.5279340e-011  2.0494717e-011  2.6867397e-012  1.7763568e-013  0.0000000e+000  0.0000000e+000
  8.0000000e-002  4.6590065e-009  2.6068037e-009  8.6646246e-010  3.4681147e-010  1.0238477e-010  2.2204460e-011  2.9531932e-012  1.7763568e-013  0.0000000e+000  0.0000000e+000
  8.5000000e-002  4.8909987e-009  2.7440050e-009  9.1697760e-010  3.6812775e-010  1.0953460e-010  2.3958613e-011  3.1974423e-012  1.9984014e-013  0.0000000e+000  0.0000000e+000
  9.0000000e-002  5.1199933e-009  2.8800073e-009  9.6735953e-010  3.8948844e-010  1.1672885e-010  2.5712765e-011  3.4861003e-012  2.2204460e-013  0.0000000e+000  0.0000000e+000
  9.5000000e-002  5.3463900e-009  3.0149883e-009  1.0175860e-009  4.1084913e-010  1.2401191e-010  2.7533531e-011  3.7525538e-012  2.4424907e-013  0.0000000e+000  0.0000000e+000
  1.0000000e-001  5.5706106e-009  3.1488145e-009  1.0676127e-009  4.3229864e-010  1.3131718e-010  2.9354297e-011  4.0634163e-012  2.8865799e-013  2.2204460e-014  0.0000000e+000
  1.0500000e-001  5.7923888e-009  3.2813974e-009  1.1175727e-009  4.5372595e-010  1.3868906e-010  3.1219471e-011  4.3298698e-012  2.8865799e-013  0.0000000e+000  0.0000000e+000
  1.1000000e-001  6.0120131e-009  3.4134029e-009  1.1673773e-009  4.7521986e-010  1.4612755e-010  3.3062442e-011  4.6407322e-012  3.1086245e-013  0.0000000e+000  0.0000000e+000
  1.1500000e-001  6.2297945e-009  3.5441872e-009  1.2170709e-009  4.9673599e-010  1.5356605e-010  3.4994230e-011  4.9515947e-012  3.3306691e-013  2.2204460e-014  0.0000000e+000
  1.2000000e-001  6.4453998e-009  3.6743941e-009  1.2666312e-009  5.1831872e-010  1.6109336e-010  3.6903813e-011  5.2624571e-012  3.5527137e-013  0.0000000e+000  0.0000000e+000
  1.2500000e-001  6.6596062e-009  3.8038017e-009  1.3161250e-009  5.3985705e-010  1.6866508e-010  3.8857806e-011  5.5955240e-012  3.9968029e-013  0.0000000e+000  0.0000000e+000
  1.3000000e-001  6.8719919e-009  3.9322101e-009  1.3655299e-009  5.6148419e-010  1.7623680e-010  4.0811798e-011  5.9063865e-012  4.2188475e-013  2.2204460e-014  0.0000000e+000
  1.3500000e-001  7.0826012e-009  4.0601966e-009  1.4148682e-009  5.8313354e-010  1.8387514e-010  4.2810200e-011  6.2394534e-012  4.4408921e-013  0.0000000e+000  0.0000000e+000
