8760	0	0	0	
8760.79	-1.#IND	-1.#IND	-1.#IND	
8760.8	-1.#IND	-1.#IND	-1.#IND	
8760.81	-1.#IND	-1.#IND	-1.#IND	
8760.81	-1.#IND	-1.#IND	-1.#IND	
8760.82	-1.#IND	-1.#IND	-1.#IND	
8760.83	-1.#IND	-1.#IND	-1.#IND	
8760.83	-1.#IND	-1.#IND	-1.#IND	
8760.84	-1.#IND	-1.#IND	-1.#IND	
8760.85	-1.#IND	-1.#IND	-1.#IND	
8760.85	-1.#IND	-1.#IND	-1.#IND	
8760.86	-1.#IND	-1.#IND	-1.#IND	
8760.87	-1.#IND	-1.#IND	-1.#IND	
8760.87	-1.#IND	-1.#IND	-1.#IND	
8760.88	-1.#IND	-1.#IND	-1.#IND	
8760.89	-1.#IND	-1.#IND	-1.#IND	
8760.89	-1.#IND	-1.#IND	-1.#IND	
8760.9	-1.#IND	-1.#IND	-1.#IND	
8760.91	-1.#IND	-1.#IND	-1.#IND	
8760.91	-1.#IND	-1.#IND	-1.#IND	
8760.92	-1.#IND	-1.#IND	-1.#IND	
8760.93	-1.#IND	-1.#IND	-1.#IND	
8760.93	-1.#IND	-1.#IND	-1.#IND	
8760.94	-1.#IND	-1.#IND	-1.#IND	
8760.95	-1.#IND	-1.#IND	-1.#IND	
8760.95	-1.#IND	-1.#IND	-1.#IND	
8760.96	-1.#IND	-1.#IND	-1.#IND	
8760.97	-1.#IND	-1.#IND	-1.#IND	
8760.97	-1.#IND	-1.#IND	-1.#IND	
8760.98	-1.#IND	-1.#IND	-1.#IND	
8760.99	-1.#IND	-1.#IND	-1.#IND	
8760.99	-1.#IND	-1.#IND	-1.#IND	
8761	-1.#IND	-1.#IND	-1.#IND	
8761.01	-1.#IND	-1.#IND	-1.#IND	
8761.01	-1.#IND	-1.#IND	-1.#IND	
8761.02	-1.#IND	-1.#IND	-1.#IND	
8761.03	-1.#IND	-1.#IND	-1.#IND	
8761.03	-1.#IND	-1.#IND	-1.#IND	
8761.04	-1.#IND	-1.#IND	-1.#IND	
8761.05	-1.#IND	-1.#IND	-1.#IND	
8761.05	-1.#IND	-1.#IND	-1.#IND	
8761.06	-1.#IND	-1.#IND	-1.#IND	
8761.07	-1.#IND	-1.#IND	-1.#IND	
8761.07	-1.#IND	-1.#IND	-1.#IND	
8761.08	-1.#IND	-1.#IND	-1.#IND	
8761.09	-1.#IND	-1.#IND	-1.#IND	
8761.09	-1.#IND	-1.#IND	-1.#IND	
8761.1	-1.#IND	-1.#IND	-1.#IND	
8761.11	-1.#IND	-1.#IND	-1.#IND	
8761.11	-1.#IND	-1.#IND	-1.#IND	
8761.12	-1.#IND	-1.#IND	-1.#IND	
8761.13	-1.#IND	-1.#IND	-1.#IND	
8761.13	-1.#IND	-1.#IND	-1.#IND	
8761.14	-1.#IND	-1.#IND	-1.#IND	
8761.15	-1.#IND	-1.#IND	-1.#IND	
8761.15	-1.#IND	-1.#IND	-1.#IND	
8761.16	-1.#IND	-1.#IND	-1.#IND	
8761.17	-1.#IND	-1.#IND	-1.#IND	
8761.17	-1.#IND	-1.#IND	-1.#IND	
8761.18	-1.#IND	-1.#IND	-1.#IND	
8761.19	-1.#IND	-1.#IND	-1.#IND	
8761.19	-1.#IND	-1.#IND	-1.#IND	
8761.2	-1.#IND	-1.#IND	-1.#IND	
8761.21	-1.#IND	-1.#IND	-1.#IND	
8761.21	-1.#IND	-1.#IND	-1.#IND	
8761.22	-1.#IND	-1.#IND	-1.#IND	
8761.23	-1.#IND	-1.#IND	-1.#IND	
8761.23	-1.#IND	-1.#IND	-1.#IND	
8761.24	-1.#IND	-1.#IND	-1.#IND	
8761.25	-1.#IND	-1.#IND	-1.#IND	
8761.25	-1.#IND	-1.#IND	-1.#IND	
8761.26	-1.#IND	-1.#IND	-1.#IND	
8761.27	-1.#IND	-1.#IND	-1.#IND	
8761.27	-1.#IND	-1.#IND	-1.#IND	
8761.28	-1.#IND	-1.#IND	-1.#IND	
8761.29	-1.#IND	-1.#IND	-1.#IND	
8761.29	-1.#IND	-1.#IND	-1.#IND	
8761.3	-1.#IND	-1.#IND	-1.#IND	
8761.31	-1.#IND	-1.#IND	-1.#IND	
8761.31	-1.#IND	-1.#IND	-1.#IND	
8761.32	-1.#IND	-1.#IND	-1.#IND	
8761.33	-1.#IND	-1.#IND	-1.#IND	
8761.33	-1.#IND	-1.#IND	-1.#IND	
8761.34	-1.#IND	-1.#IND	-1.#IND	
8761.35	-1.#IND	-1.#IND	-1.#IND	
8761.35	-1.#IND	-1.#IND	-1.#IND	
8761.36	-1.#IND	-1.#IND	-1.#IND	
