0	1	1	1	1	1	1	1	1	1	1	
0.005	0.999424	0.999662	0.999741	0.999781	0.999804	0.99982	0.999832	0.99984	0.999847	0.999852	
0.01	0.998894	0.999347	0.999498	0.999574	0.999619	0.99965	0.999671	0.999687	0.9997	0.99971	
0.015	0.998407	0.999055	0.99927	0.999378	0.999443	0.999486	0.999517	0.99954	0.999558	0.999573	
0.02	0.997958	0.998781	0.999056	0.999193	0.999275	0.99933	0.999369	0.999399	0.999422	0.99944	
0.025	0.997543	0.998525	0.998853	0.999016	0.999115	0.99918	0.999227	0.999262	0.99929	0.999311	
0.03	0.997159	0.998285	0.998661	0.998848	0.998961	0.999036	0.99909	0.99913	0.999161	0.999187	
0.035	0.996804	0.998059	0.998478	0.998688	0.998814	0.998897	0.998957	0.999002	0.999037	0.999065	
0.04	0.996475	0.997847	0.998305	0.998534	0.998672	0.998763	0.998829	0.998878	0.998916	0.998947	
0.045	0.996168	0.997647	0.99814	0.998387	0.998535	0.998634	0.998704	0.998757	0.998799	0.998831	
0.05	0.995883	0.997457	0.997983	0.998245	0.998403	0.998508	0.998584	0.99864	0.998684	0.998719	
0.055	0.995617	0.997278	0.997832	0.998109	0.998276	0.998387	0.998466	0.998525	0.998572	0.998609	
0.06	0.995368	0.997107	0.997688	0.997978	0.998152	0.998268	0.998351	0.998414	0.998462	0.998501	
0.065	0.995135	0.996945	0.997549	0.997851	0.998032	0.998153	0.99824	0.998305	0.998355	0.998395	
0.07	0.994917	0.99679	0.997415	0.997728	0.997916	0.998041	0.998131	0.998198	0.99825	0.998292	
0.075	0.994711	0.996642	0.997287	0.997609	0.997803	0.997932	0.998024	0.998093	0.998147	0.99819	
0.08	0.994517	0.9965	0.997162	0.997493	0.997692	0.997825	0.99792	0.997991	0.998046	0.99809	
0.085	0.994334	0.996364	0.997042	0.997381	0.997585	0.99772	0.997817	0.99789	0.997947	0.997992	
0.09	0.994161	0.996233	0.996925	0.997272	0.997479	0.997618	0.997717	0.997791	0.997849	0.997895	
0.095	0.993997	0.996107	0.996812	0.997165	0.997376	0.997518	0.997619	0.997694	0.997753	0.9978	
0.1	0.993841	0.995985	0.996702	0.99706	0.997276	0.997419	0.997522	0.997599	0.997658	0.997706	
0.105	0.993692	0.995868	0.996595	0.996958	0.997177	0.997322	0.997426	0.997505	0.997565	0.997614	
0.11	0.99355	0.995754	0.99649	0.996859	0.99708	0.997227	0.997333	0.997412	0.997473	0.997523	
0.115	0.993414	0.995643	0.996388	0.996761	0.996985	0.997134	0.99724	0.99732	0.997383	0.997432	
0.12	0.993283	0.995535	0.996288	0.996665	0.996891	0.997042	0.997149	0.99723	0.997293	0.997343	
0.125	0.993158	0.995431	0.99619	0.996571	0.996799	0.996951	0.99706	0.997141	0.997205	0.997255	
0.13	0.993038	0.995329	0.996095	0.996478	0.996708	0.996862	0.996971	0.997053	0.997117	0.997169	
